e0v0,e0v1,e1v0,e1v1
5,23,,
5,29,,
35,33,,
0,39,,
36,41,,
45,42,,
46,45,,
20,15,,
2,5,,
26,30,,
9,38,,
33,34,,
42,35,,
41,40,,
48,36,,
51,53,,
16,14,,
20,18,,
19,2,,
30,20,,
28,6,,
3,37,,
45,48,,
52,54,,
54,55,,
56,25,,
43,1,38,95
7,44,19,15
56,57,115,116
16,17,142,141
24,27,37,26
8,31,93,80
19,13,4,102
21,12,21,109
0,24,43,37
44,50,15,3
47,4,130,72
51,52,91,90
43,51,38,91
24,58,37,44
58,49,44,103
58,43,44,38
58,59,44,92
59,10,92,31
10,60,31,33
60,9,33,34
60,26,33,27
9,61,34,28
61,8,28,93
8,62,93,22
62,7,22,19
56,0,115,43
59,63,92,32
63,21,32,21
60,64,33,39
64,46,39,136
65,19,6,4
66,65,101,6
67,66,135,101
61,68,28,121
68,67,121,135
69,3,16,25
8,70,93,100
70,69,100,16
71,22,74,58
31,72,80,48
72,71,48,74
73,32,119,120
62,74,22,133
74,73,133,119
32,75,120,75
75,28,75,52
76,47,131,130
62,77,22,118
77,76,118,131
4,78,72,132
78,11,132,65
24,79,37,42
79,16,42,142
,,9,8
,,7,9
,,5,10
,,101,14
,,83,18
,,41,36
,,42,41
,,70,56
,,56,57
,,60,61
,,75,76
,,54,78
,,20,83
,,92,94
,,112,114
,,87,88
,,28,99
,,82,24
,,40,82
,,31,45
,,72,73
,,56,66
,,53,70
,,47,50
,,29,85
,,23,12
,,109,5
,,112,113
,,9,108
,,23,105
,,46,79
,,44,51
,,70,55
,,60,63
,,59,68
,,59,64
,,76,67
,,46,69
,,47,54
,,39,77
,,82,81
,,16,29
,,48,40
,,36,35
,,88,84
,,14,89
,,105,104
,,108,110
,,6,111
,,90,49
,,92,97
,,32,23
,,88,30
,,20,13
,,88,20
,,72,53
,,1,0
,,114,1
,,31,112
,,1,107
,,86,96
,,105,117
,,117,106
,,117,7
,,118,47
,,119,46
,,121,11
,,122,62
,,32,123
,,123,122
,,98,124
,,124,2
,,34,125
,,125,98
,,126,17
,,127,126
,,2,128
,,128,127
,,17,129
,,129,87
,,120,134
,,134,71
,,136,59
,,137,86
,,35,138
,,138,137
,,139,60
,,140,139
,,141,140
